Scientific Name,Common Name,Species ID,Link,Plant Type,Light Preference,Water Preference,Drought Tolerant?,Native to SG?,Fruit Bearing?,Fragrant Plant?,Maximum Height,Flower Colour,Hazard,Attracted Animals,Native habitat,Mature Leaf Colour,Young Flush Leaf Colour,Leaf Area Index,Growth Rate,Trunk Texture,Trunk Colour,Leaf Texture
Abelia × grandiflora (Planch. & Linden) Traub,Glossy abelia,4055,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4055,Shrub,Full Sun,Moderate Water,False,False,False,False,"This hybrid species is a rounded, spreading, multi-stemmed shrub and can grow up to about 1 - 2 m tall and 2 - 4 m wide.",White,-,Butterfly-Attracting,Terrestrial,Green,-,-,Moderate,None,None,"Ovate leaves, dark green, glossy, opposite and simple, measuring about 2 - 5 cm long."
Abelia × grandiflora 'Francis Mason',Golden Abelia,3463,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3463,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,1.5 m,White,-,Butterfly-Attracting,-,"Green, Yellow / Golden",Red,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Leaves are yellow and green, elliptical in shape."
Abelia × grandiflora 'Kaleidoscope',Kaleidoscope Abelia,5038,https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5038,Shrub,Full Sun,Moderate Water,False,False,False,False,60 cm to 70 cm,White,-,Butterfly-Attracting,Terrestrial,Green - Light Green,Red,-,Moderate,None,None,"Leaves are variegated of yellow and green with a tinge of orange on the younger flushes, leaf blade is elliptical in shape, with crenate margin. Leaves are sometimes whorled or oppositely arranged."
Abelia × grandiflora 'Variegata',-,4056,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4056,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,-,-,-,-,Terrestrial,-,-,-,Moderate,None,None,-
Abelmoschus esculentus (L.) Moench,Lady's Fingers,1581,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1581,"Herbaceous Plant, Shrub",Full Sun,Moderate Water,False,False,True,False,1 m to 1.8 m,Yellow / Golden,"Spines/Thorns - Stem/Branch, Spines/Thorns - Leaf",-,-,Green,Green,-,Moderate,None,None,"Leaves velvety, palmately lobed."
Abelmoschus esculentus 'Alabama Red',Lady's Finger,6691,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6691,Herbaceous Plant,Full Sun,Moderate Water,False,False,True,False,-,-,-,-,-,-,-,-,-,None,None,-
Abelmoschus esculentus 'Clemson Spineless',Lady's Finger,7453,https://www.nparks.gov.sg/florafaunaweb/flora/7/4/7453,Herbaceous Plant,Full Sun,Moderate Water,False,False,True,False,"Large, mostly herbaceous plant with woody stem near the base up to 1.8 m or more tall.",Cream / Off-White,-,-,-,Green,-,-,-,None,None,"Large, palmate leaves are deeply lobed with a toothed leaf margin."
Abelmoschus esculentus cultivars,Lady's Finger,8439,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8439,Herbaceous Plant,Full Sun,Moderate Water,False,False,True,False,-,-,-,-,-,-,-,-,-,None,None,-
Abelmoschus esculentus 'Greeny Splendor',Lady's Finger,6516,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6516,Herbaceous Plant,Full Sun,Moderate Water,False,False,True,False,0.5 m to 1 m,Cream / Off-White,-,-,-,Green,-,-,-,None,None,"Simple, palmately lobed leaves have an irregular, toothed leaf margin. The leaf blade bulges between veins, creating a bumpy, uneven surface. The petiole is long, cylindrical and sparsely covered in soft, white hairs."
Abelmoschus esculentus 'Silver Queen',Lady's Finger,8410,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8410,Herbaceous Plant,Full Sun,Moderate Water,False,False,True,False,1.8,-,-,-,Terrestrial,-,-,-,-,None,None,-
Abelmoschus esculentus 'Star of David',Lady's Finger,6690,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6690,Herbaceous Plant,Full Sun,Moderate Water,False,False,True,False,-,-,-,-,-,-,-,-,-,None,None,-
Abelmoschus manihot (L.) Medik.,Sunset Hibiscus,5813,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5813,Shrub,Full Sun,Moderate Water,False,False,True,False,1 m to 1.8 m,Yellow / Golden,-,-,Terrestrial,"Green, Green - Light Green","Green, Green - Light Green",-,Moderate,None,None,"The leaves are large, 15-30 cm in diameter, palmate-shaped with 5-9 lobes. The lobes are oblong to lanceolate shaped and sometimes pinnately lobed, measuring 8-18 cm long and 1-6 cm wide. The petiole is 6-18 cm long, stipules linear-lanceolate, sometimes there are 2 on each side of petiole, measuring 1-1.5 cm long. Leaf margin is obtusely serrated."
Abelmoschus moschatus (Span.) Borss.Waalk. subsp. tuberosus,Musk Mallow,5478,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5478,"Creeper, Herbaceous Plant",Full Sun,"Lots of Water, Moderate Water",False,False,False,False,Trailing herb up to 2 m across and 1.5 m tall.,"Red, Pink, Cream / Off-White",-,-,Terrestrial,Green,-,-,-,None,None,"Its stalked leaves are alternate, hairy and heart-shaped to 3-5 lobed, up to 15 cm long, with toothed margins."
Abroma augustum (L.) L.f.,Ulat Kambal,5350,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5350,Shrub,Full Sun,Moderate Water,True,False,False,False,4 m,Red,Spines/Thorns - Stem/Branch,-,Terrestrial,Green,-,-,Fast,None,None,"The leaves are exist in two forms, lobed and unlobed. The lobed form has longer petiole (10-40cm), 3-5 lobed blade, cordate-ovate shape and irregularly dentate margin while unlobed form has shorter petiole (1-2cm), lance shaped blade and dentate margin."
Abrus precatorius L.,Rosary pea,3480,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3480,Climber,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,"Abrus precatorius is a slender, perennial climber that twines around trees, shrubs and hedges. It has no special organs of attachment.","Pink, Purple",-,-,Terrestrial (Secondary Rainforest),Green,-,-,Fast,Smooth,Brown,-
Abutilon 'Canary Bird',-,8140,https://www.nparks.gov.sg/florafaunaweb/flora/8/1/8140,Shrub,Full Sun,Moderate Water,False,False,False,False,3 m,Yellow / Golden,-,Bird-Attracting,Terrestrial,Green,Green - Light Green,-,Moderate,None,None,"Dark green, palmately-lobed leaves."
Abutilon indicum,India Abutilon,1582,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1582,Herbaceous Plant,Full Sun,Moderate Water,False,False,False,False,2.5 m,-,-,-,-,Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,"Leaves simple, circular-ovate or heart-shaped, 5-12cm long and wide; both sides softly velvety-pubescent, alternately arranged, with coarsely crenate-serrate margins. Petiole 2-4cm, stipules subulate, 1-2mm, curved outward."
Abutilon pictum 'Thompsonii',Flowering Maple,1583,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1583,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,1.5 m,Orange,Invasive / Potentially Invasive,"Bird-Attracting (Flowers), Butterfly-Attracting",Terrestrial,"Green, Yellow / Golden","Green, Yellow / Golden",-,Fast,None,None,"Foliage is variegated with green and yellow due to the Abutilon mosaic virus which is harmless to humans. Leaf blades palmate-shaped, 3 - 5 lobes, measuring 5 - 8 cm, smooth, margin dentate or serrate, apex acuminate; stipules subulate, caducous; petiole measuring 3 - 5 cm, smooth, hairless."
Abutilon 'Souvenir de Bonn',Flowering Maple 'Souvenir de Bonn',8350,https://www.nparks.gov.sg/florafaunaweb/flora/8/3/8350,Shrub,Full Sun,Moderate Water,False,False,False,False,2.4 m to 3 m,Orange,-,Bird-Attracting,Terrestrial,"Green, Cream / Off-White","Green, Cream / Off-White",-,Moderate,None,None,Green palmately-lobed leaves with cream-white margin.
Acacia auriculiformis A. Cunn. ex Benth.,Acacia-tree,2693,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2693,Tree,Full Sun,Moderate Water,True,False,False,True,30 m,Yellow / Golden,-,Bird-Attracting,-,Green,-,3.0 (Tree - Intermediate Canopy),Fast,-,-,None
Acacia confusa,Formosan Koa,2694,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2694,Tree,Full Sun,Moderate Water,False,False,False,None,-,White,-,-,-,Green,-,3.0 (Tree - Intermediate Canopy),Fast,-,-,None
Acacia mangium Willd.,Silver Wattle,2695,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2695,Tree,Full Sun,Moderate Water,False,False,True,None,30 m,White,Spines/Thorns - Stem/Branch,Bird-Attracting,"Terrestrial (Coastal Forest, Riverine, Grassland / Savannah/ Scrubland), Shoreline (Mangrove Forest)","Green, Silver / Grey",-,3.0 (Tree - Intermediate Canopy),Fast,Fissured,"Greyish-brown to dark brown & slightly fissured in mature trees.
Greenish & smooth in young trees.",None
Acacia podalyriifolia,-,3485,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3485,Tree,Full Sun,Moderate Water,False,False,False,None,-,-,-,-,-,-,-,-,Fast,-,-,None
Acalypha aristata Kunth,Field Copperleaf,5740,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5740,Herbaceous Plant,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,Annual herb that grows up to 0.2 - 0.5 m tall.,"Flowers are arranged in hairy, oval-shaped inflorescences (1.5 - 3 cm long).",-,-,-,Green,-,4.5 (Shrub & Groundcover - Dicot),-,None,None,"Leaves are deeply veined, ovate to lance-shaped with toothed leaf margin (3 - 6 cm long, 1.5 -3 cm wide)."
Acalypha chamaedrifolia (Lam.) Müll.Arg.,Red Cat's Tail,1587,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1587,Herbaceous Plant,Semi Shade,"Lots of Water, Moderate Water",False,False,False,False,"A herb, it has a prostrate and trailing growth form.",Red,-,-,Terrestrial,Green,Green,4.5 (Shrub & Groundcover - Dicot),Fast,None,None,"The leaves are ovate in shape and have a rounded base and acute apex and are held in opposie pairs along the stem. The leaves have a crenate-dentate margin, is covered with hairs and measure about 5 to 3.5 cm long and 1.5 cm wide."
Acalypha godseffiana 'Heterophylla',Copper Leaf,1585,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1585,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,4 m,White,-,-,-,"Green, Red, Pink","Green, Pink",4.5 (Shrub & Groundcover - Dicot),Fast,None,None,"Leaves simple, alternate, dark green, narrowly elliptic, with pink, wavy or toothed margins."
Acalypha hispida Burm.f.,Chenille Plant,1586,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1586,Shrub,"Full Sun, Semi Shade","Lots of Water, Moderate Water",False,False,False,False,1.5 m to 4.5 m,Red,Toxic Upon Ingestion,-,Terrestrial,Green,Green,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Simple, alternate leaves measuring about 10 - 20 cm long and 7 - 10 cm wide."
Acalypha indica L.,Copperleaf,5964,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5964,Herbaceous Plant,"Full Shade, Semi Shade","Lots of Water, Moderate Water",False,False,False,False,1 m,Green,-,-,Terrestrial,Green,-,-,-,None,None,Egg-shaped leaves occur in a whorled leaf arrangement (3 or more leaves attached to the same point on the stem).
Acalypha siamensis,Tumput,1588,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1588,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,"Shrub, able to grow up to 2.5 m tall.",Green,-,-,Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"The leaves have a short petiole, pubescent, serrated along the margins, elliptic to obovate in shape, alternately arranged."
Acalypha siamensis (Variegated Leaf),-,1589,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1589,Shrub,Full Sun,Moderate Water,False,False,False,False,"Compact shrub, able to grow to about 1 - 2 m tall and 1 - 2 m wide.",Green - Light Green,-,-,Terrestrial,"Green, Yellow / Golden, White",-,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Green leaves with patches of white, having a short petiole, serrated along the margins, elliptic to obovate in shape, alternately arranged,"
Acalypha wilkesiana 'Hoffmannii',Jacob's Coat 'Hoffmannii',1590,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1590,Shrub,"Full Sun, Semi Shade","Lots of Water, Moderate Water",False,False,False,False,2.5 m,Green,-,-,Terrestrial,"Green, Yellow / Golden, White","Green, White, Yellow / Golden",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Leaves are margined with cream-coloured lobes, large and broad leaf blades."
Acalypha wilkesiana 'Java White','Java White' Copper Leaf,1591,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1591,Shrub,Semi Shade,"Lots of Water, Moderate Water",False,False,False,False,Shrub which grows to about 2 - 3 m high and 2 m wide,Red,-,-,Terrestrial,"Green, Yellow / Golden","Green - Light Green, Yellow / Golden",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,Bright yellow to light green foliage with irregular splashes of green
Acalypha wilkesiana 'Moorea',WiIkes' AcaIypha,1592,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1592,Shrub,"Full Sun, Semi Shade","Lots of Water, Moderate Water",False,False,False,False,It is a spreading and erect shrub growing up to 2 - 3 m.,Pink,-,-,Terrestrial,"Green, Purple, Red",-,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Leaves are large, round palmate-like leaves with serrated margin, coppery-bronze to green in colour."
Acalypha wilkesiana 'Mosaica',Fire Fiji Plant,1593,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1593,Shrub,"Full Sun, Semi Shade","Lots of Water, Moderate Water",False,False,False,False,"Erect or spreading shrub, up to 2 m tall.","Flowers are borne on spikes, usually measuring about 10 - 20 cm long.",-,-,Terrestrial,"Green, Purple, Red","Orange, Red, Green - Light Green",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Large and broad leaves with toothed edges, measuring about 10 - 20 cm long and 15 - 20 cm wide."
Acanthus ebracteatus (Variegated),Variegated Sea Holly,1595,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1595,"Herbaceous Plant, Shrub","Full Sun, Semi Shade",Lots of Water,False,False,False,False,1.5 m,White,"Spines/Thorns - Stem/Branch, Spines/Thorns - Leaf",-,"Shoreline (Mangrove Forest, Mudflat)","Green, Yellow / Golden, White",-,4.5 (Shrub & Groundcover - Dicot),-,None,None,"Oblong, lobed leaves have sharp spines along the leaf margin. Smooth, shiny leaves have a variegated pattern of mostly green with white to cream-coloured patches concentrated mostly along the leaf margin, but sometimes covering more than half the leaf."
Acanthus ebracteatus Vahl,Sea Holly,1594,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1594,Shrub,"Full Sun, Semi Shade",Lots of Water,False,True,False,False,1.5 m to 2 m,White,"Spines/Thorns - Stem/Branch, Spines/Thorns - Leaf",-,Shoreline (Mangrove Forest),Green,-,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Its opposite, stalked
leaves have leaf blades that are oblong to oval, with toothed leaves that are
deeply lobed with spine tips along the leaf margin, shiny dark green above,
dark green below, and 7.5–20 by 2.5–6.5 cm."
Acanthus ilicifolius L.,Mangrove HoIIy,3487,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3487,Shrub,"Full Sun, Semi Shade",Lots of Water,False,True,False,False,3 m,"Purple, White",-,Bird-Attracting (Flowers),-,Green - Light Green,-,-,-,None,None,"Its opposite, shortly-stalked leaves possess spiny leaf blades that are oval to oblong, pale green with a yellowish tinge above and green below, and 5–22 cm by 2–7 cm."
Acanthus mollis,Bear's Breeches,4898,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4898,Herbaceous Plant,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,0.9 m to 1.5 m,"White, Pink","Aggressive Roots, Invasive / Potentially Invasive",-,Terrestrial,Green,Green,-,Fast,None,None,"The glossy, dark green leaves are large up to 0.6 m long. They are deeply lobed and soft-spiny, growing near the base of the plant."
Acanthus volubilis Wall.,Jeruju,6527,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6527,Shrub,"Full Sun, Semi Shade",Lots of Water,False,True,False,False,"Semi-erect to climbing plant, has thin, dark-green, smooth stems, 4 - 8 m in height.",White,-,-,Shoreline (Mangrove Forest),Green,-,-,Fast,None,None,"Leaf blades are smooth, entire or slightly lobed, usually without spines, fleshy to leathery, oblong-lanceolate, measuring 2.5 - 5 by 7 - 9 cm and have a blunt tip. Simple, opposite leaves with a leaf stalk about 1.0 cm long, slightly flattened and green."
Acca sellowiana,Feijoa,4165,https://www.nparks.gov.sg/florafaunaweb/flora/4/1/4165,"Shrub, Tree",Full Sun,Moderate Water,False,False,True,None,-,Red,-,-,Terrestrial,"Green, Silver / Grey",-,-,Moderate,-,-,-
Achillea sp.,Yarrow,5346,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5346,Shrub,Full Sun,"Little Water, Moderate Water",True,False,False,False,-,White,-,-,Terrestrial,Green,-,-,Moderate,None,None,"The leaves are bipinnatified, the segments very finely cut, fern like, giving the leaves a feathery appearance."
Achimenes 'Ambrose Verschaffelt',-,7073,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7073,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,"It is a rhizomatous herb that produces flowers in abundance (floriferous), measuring up to 30 cm in height. It often form horizontal shoots (semi prostrate) as the growing season progresses","Purple, Yellow / Golden",-,-,-,Green,-,-,Moderate,None,None,"Its leaves are dark green in colour, up to 3 cm long. Leaves are covered in sparse hairs and have a toothed margin."
Achimenes 'Orange Delight',-,5681,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5681,Herbaceous Plant,Semi Shade,"Lots of Water, Moderate Water",False,False,False,False,"It is a hairy rhizomatous herb that produces flowers in abundance (floriferous), measuring up to 30 cm in height.","Red, Orange",-,-,-,"Brown, Green, Red",-,-,Moderate,None,None,Its leaves are olive green with pale red underside measuring up to 3 cm long. The leaves are covered in sparse hairs and have a toothed margin.
Achimenes 'Robert Dressler',-,7070,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7070,Herbaceous Plant,Semi Shade,"Lots of Water, Moderate Water, Occasional Misting",False,False,False,False,"It is a rhizomatous herb that produces flowers in abundance (floriferous), measuring up to 30 cm in height.",Purple,-,-,-,Green,-,-,Moderate,None,None,"Its leaves are dark green in colour, up to 3 cm long. Leaves are covered in sparse hairs and have a toothed margin."
Achyranthes aspera L.,Devil's Horsewhip,5967,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5967,Herbaceous Plant,Semi Shade,Moderate Water,False,False,False,False,0.2 m to 1.2 m,Green,-,-,Terrestrial (Disturbed Area / Open Ground),Green,Silver / Grey,-,Moderate,None,None,"Green, papery leaves (1.5-7 cm long, 0.4-4 cm wide) are broadly obovate (egg-shaped) or elliptic-oblong (oval-elongated). They are hairy on both sides."
Acmella oleracea (L.) R.K.Jansen,Toothache Plant,5201,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5201,Herbaceous Plant,"Full Sun, Semi Shade",Moderate Water,False,False,True,True,30 cm to 45 cm,"Red, Yellow / Golden",-,-,Terrestrial,Green,-,-,-,None,None,"Leaves are egg-shaped to triangular with a toothed leaf margin (5-11 cm long, 4-8 cm wide)."
Acmella paniculata (Wall. ex DC.) R.K.Jansen,Toothache Plant,2472,https://www.nparks.gov.sg/florafaunaweb/flora/2/4/2472,Herbaceous Plant,Full Sun,"Lots of Water, Moderate Water",False,False,False,False,30 cm to 80 cm,Orange,-,-,Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,Leaves are egg- or lance-shaped with a toothed leaf margin and rough surface on both sides.
Acmella uliginosa (Sw.) Cass.,沼生金纽扣,5784,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5784,Herbaceous Plant,Full Sun,Moderate Water,False,False,False,False,0.1 m to 0.3 m,Yellow / Golden,-,-,Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,Leaves are lanceolate or narrowly ovate.
Acmena smithii var. minor 'Cherry Surprise',-,5795,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5795,Shrub,Full Sun,"Little Water, Moderate Water",False,False,False,False,"A compact, low-growing shrub able to grow up to 2 - 5 m tall.",-,-,-,Terrestrial,Green,Red,-,Moderate,None,None,"The leaves are green with an entire margin, an acuminate apex and a conspicuous midrib. The petioles are pink in colour. The young leaves are red in colour."
Acorus calamus L.,Calamus,3491,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3491,-,Full Sun,Lots of Water,False,False,False,None,1 m,"The flowers are bisexual and consist of 6 tepals, 6 stamens and a sessile stigma.",Toxic Upon Ingestion,-,Aquatic (Freshwater Pond / Lake / River),Green,-,-,-,None,None,None
Acriopsis indica C.Wright,合萼兰,6621,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6621,Epiphyte,Semi Shade,Moderate Water,False,False,False,False,"A sympodial epiphyte, it has a clumping growth form.","White, Yellow / Golden",-,-,Terrestrial,-,-,-,Moderate,None,None,"The pseudobulbs are oblong-ovoid in shape, each bearing 2 to 3 leaves. The leaves are narrow-oblong in shape and measure 7 to 7.5 cm long and 0.3 to 0.4 cm wide."
Acriopsis liliifolia (Koen.) Ormerod,-,6484,https://www.nparks.gov.sg/florafaunaweb/flora/6/4/6484,Epiphyte,Semi Shade,Moderate Water,False,True,False,False,"A sympodial epiphyte, it has a clumping growth form.","Purple, White",-,-,Terrestrial,-,-,-,Moderate,None,None,The pseudobulbs each bear 2 leaves that are small and elliptic in shape.
